"case","n_train","method","mean","sd"
"Case 1",200,"ABMRS-1",0.349,0.084
"Case 1",200,"ABMRS-2",0.362,0.095
"Case 1",200,"ABMRS-3",0.399,0.118
"Case 1",200,"BARS",0.39,0.118
"Case 1",200,"Gaussian Process",0.344,0.241
"Case 1",200,"Smooth Spline",0.343,0.091
"Case 1",500,"ABMRS-1",0.224,0.065
"Case 1",500,"ABMRS-2",0.222,0.063
"Case 1",500,"ABMRS-3",0.222,0.068
"Case 1",500,"BARS",0.271,0.061
"Case 1",500,"Gaussian Process",0.189,0.059
"Case 1",500,"Smooth Spline",0.236,0.066
"Case 2",200,"ABMRS-1",0.862,0.219
"Case 2",200,"ABMRS-2",0.806,0.2
"Case 2",200,"ABMRS-3",0.79,0.191
"Case 2",200,"BARS",0.766,0.169
"Case 2",200,"Gaussian Process",1.771,0.332
"Case 2",200,"Smooth Spline",1.841,0.319
"Case 2",500,"ABMRS-1",0.527,0.128
"Case 2",500,"ABMRS-2",0.525,0.124
"Case 2",500,"ABMRS-3",0.535,0.115
"Case 2",500,"BARS",0.535,0.11
"Case 2",500,"Gaussian Process",1.434,0.854
"Case 2",500,"Smooth Spline",1.35,0.171
"Case 3",200,"ABMRS-1",0.478,0.092
"Case 3",200,"ABMRS-2",0.569,0.293
"Case 3",200,"ABMRS-3",1.458,0.548
"Case 3",200,"BARS",1.687,0.226
"Case 3",200,"Gaussian Process",0.791,0.39
"Case 3",200,"Smooth Spline",0.648,0.099
"Case 3",500,"ABMRS-1",0.262,0.039
"Case 3",500,"ABMRS-2",0.265,0.045
"Case 3",500,"ABMRS-3",0.275,0.05
"Case 3",500,"BARS",0.453,0.392
"Case 3",500,"Gaussian Process",0.556,0.332
"Case 3",500,"Smooth Spline",0.458,0.052
