"case","n_train","method","mean","sd"
"Case 1 Knot 1",200,"50%",2.002,0.379
"Case 1 Knot 1",200,"75%",3.456,0.576
"Case 1 Knot 1",200,"95%",5.914,0.861
"Case 1 Knot 1",500,"50%",1.282,0.21
"Case 1 Knot 1",500,"75%",2.183,0.319
"Case 1 Knot 1",500,"95%",3.717,0.469
"Case 2 Knot 1",200,"50%",1.95,0.503
"Case 2 Knot 1",200,"75%",3.38,0.744
"Case 2 Knot 1",200,"95%",5.83,1.266
"Case 2 Knot 1",500,"50%",1.229,0.221
"Case 2 Knot 1",500,"75%",2.096,0.359
"Case 2 Knot 1",500,"95%",3.618,0.532
"Case 2 Knot 2",200,"50%",2.621,0.671
"Case 2 Knot 2",200,"75%",4.509,0.974
"Case 2 Knot 2",200,"95%",7.883,1.667
"Case 2 Knot 2",500,"50%",1.617,0.296
"Case 2 Knot 2",500,"75%",2.719,0.476
"Case 2 Knot 2",500,"95%",4.582,0.774
"Case 3 Knot 1",200,"50%",0.98,0.795
"Case 3 Knot 1",200,"75%",1.749,1.334
"Case 3 Knot 1",200,"95%",2.978,2.459
"Case 3 Knot 1",500,"50%",0.361,0.338
"Case 3 Knot 1",500,"75%",0.642,0.521
"Case 3 Knot 1",500,"95%",1.025,0.786
"Case 3 Knot 2",200,"50%",0.98,0.795
"Case 3 Knot 2",200,"75%",1.749,1.334
"Case 3 Knot 2",200,"95%",2.978,2.459
"Case 3 Knot 2",500,"50%",0.361,0.338
"Case 3 Knot 2",500,"75%",0.642,0.521
"Case 3 Knot 2",500,"95%",1.025,0.786
"Case 3 Knot 3",200,"50%",3.284,1.288
"Case 3 Knot 3",200,"75%",5.641,2.032
"Case 3 Knot 3",200,"95%",9.639,2.984
"Case 3 Knot 3",500,"50%",1.838,0.437
"Case 3 Knot 3",500,"75%",3.106,0.666
"Case 3 Knot 3",500,"95%",5.417,1.052
"Case 3 Knot 4",200,"50%",3.259,1.219
"Case 3 Knot 4",200,"75%",5.544,1.906
"Case 3 Knot 4",200,"95%",9.827,3.064
"Case 3 Knot 4",500,"50%",1.925,0.681
"Case 3 Knot 4",500,"75%",3.334,0.928
"Case 3 Knot 4",500,"95%",5.617,1.344
