"case","n_train","method","mean","sd"
"Case 1 Knot 1",200,"50%",0.532,0.499
"Case 1 Knot 1",200,"75%",0.699,0.459
"Case 1 Knot 1",200,"95%",0.962,0.191
"Case 1 Knot 1",500,"50%",0.468,0.499
"Case 1 Knot 1",500,"75%",0.758,0.429
"Case 1 Knot 1",500,"95%",0.957,0.203
"Case 2 Knot 1",200,"50%",0.51,0.5
"Case 2 Knot 1",200,"75%",0.686,0.464
"Case 2 Knot 1",200,"95%",0.911,0.285
"Case 2 Knot 1",500,"50%",0.468,0.499
"Case 2 Knot 1",500,"75%",0.692,0.462
"Case 2 Knot 1",500,"95%",0.867,0.34
"Case 2 Knot 2",200,"50%",0.613,0.487
"Case 2 Knot 2",200,"75%",0.844,0.363
"Case 2 Knot 2",200,"95%",0.964,0.186
"Case 2 Knot 2",500,"50%",0.46,0.499
"Case 2 Knot 2",500,"75%",0.721,0.449
"Case 2 Knot 2",500,"95%",0.838,0.369
"Case 3 Knot 1",200,"50%",0.354,0.478
"Case 3 Knot 1",200,"75%",0.712,0.453
"Case 3 Knot 1",200,"95%",0.86,0.347
"Case 3 Knot 1",500,"50%",0.339,0.474
"Case 3 Knot 1",500,"75%",0.529,0.499
"Case 3 Knot 1",500,"95%",0.741,0.438
"Case 3 Knot 2",200,"50%",0.354,0.478
"Case 3 Knot 2",200,"75%",0.712,0.453
"Case 3 Knot 2",200,"95%",0.86,0.347
"Case 3 Knot 2",500,"50%",0.339,0.474
"Case 3 Knot 2",500,"75%",0.529,0.499
"Case 3 Knot 2",500,"95%",0.741,0.438
"Case 3 Knot 3",200,"50%",0.48,0.5
"Case 3 Knot 3",200,"75%",0.773,0.419
"Case 3 Knot 3",200,"95%",0.969,0.173
"Case 3 Knot 3",500,"50%",0.505,0.5
"Case 3 Knot 3",500,"75%",0.821,0.384
"Case 3 Knot 3",500,"95%",0.985,0.122
"Case 3 Knot 4",200,"50%",0.404,0.491
"Case 3 Knot 4",200,"75%",0.72,0.449
"Case 3 Knot 4",200,"95%",0.967,0.179
"Case 3 Knot 4",500,"50%",0.532,0.499
"Case 3 Knot 4",500,"75%",0.791,0.407
"Case 3 Knot 4",500,"95%",0.944,0.23
