"case","n_train","method","mean","sd"
"Case 1 Knot 1",200,"ABMRS",1.213,1
"Case 1 Knot 1",200,"LSE",1.137,0.918
"Case 1 Knot 1",200,"Segmented",1.221,1.077
"Case 1 Knot 1",500,"ABMRS",0.774,0.626
"Case 1 Knot 1",500,"LSE",0.771,0.601
"Case 1 Knot 1",500,"Segmented",0.771,0.628
"Case 2 Knot 1",200,"ABMRS",1.252,1.08
"Case 2 Knot 1",200,"LSE",1.197,1.059
"Case 2 Knot 1",200,"Segmented",1.212,1.043
"Case 2 Knot 1",500,"ABMRS",0.893,0.811
"Case 2 Knot 1",500,"LSE",0.896,0.812
"Case 2 Knot 1",500,"Segmented",0.917,0.815
"Case 2 Knot 2",200,"ABMRS",1.415,1.708
"Case 2 Knot 2",200,"LSE",1.403,1.111
"Case 2 Knot 2",200,"Segmented",1.33,1.051
"Case 2 Knot 2",500,"ABMRS",1.042,0.836
"Case 2 Knot 2",500,"LSE",1.161,0.912
"Case 2 Knot 2",500,"Segmented",1.1,0.861
"Case 3 Knot 1",200,"ABMRS",0.49,0.486
"Case 3 Knot 1",200,"LSE",11.462,3.423
"Case 3 Knot 1",200,"Segmented",2.049,2.969
"Case 3 Knot 1",500,"ABMRS",0.222,0.181
"Case 3 Knot 1",500,"LSE",10.707,1.598
"Case 3 Knot 1",500,"Segmented",1.335,3.018
"Case 3 Knot 2",200,"ABMRS",0.571,0.481
"Case 3 Knot 2",200,"LSE",11.462,3.423
"Case 3 Knot 2",200,"Segmented",3.915,9.072
"Case 3 Knot 2",500,"ABMRS",0.238,0.223
"Case 3 Knot 2",500,"LSE",10.707,1.598
"Case 3 Knot 2",500,"Segmented",4.148,12.161
"Case 3 Knot 3",200,"ABMRS",1.98,1.487
"Case 3 Knot 3",200,"LSE",3.896,8.118
"Case 3 Knot 3",200,"Segmented",6.325,9.188
"Case 3 Knot 3",500,"ABMRS",0.961,0.693
"Case 3 Knot 3",500,"LSE",1.621,4.594
"Case 3 Knot 3",500,"Segmented",4.225,8.734
"Case 3 Knot 4",200,"ABMRS",1.969,1.431
"Case 3 Knot 4",200,"LSE",2.388,3.915
"Case 3 Knot 4",200,"Segmented",5.621,7.713
"Case 3 Knot 4",500,"ABMRS",1.125,1.042
"Case 3 Knot 4",500,"LSE",1.319,2.708
"Case 3 Knot 4",500,"Segmented",3.58,7.074
