"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",0.913,0.059
"Case 1",500,"ABMRS (gamma=1.2)",0.896,0.051
"Case 1",500,"ABMRS (gamma=1)",0.901,0.059
"Case 1",500,"BASS",0.858,0.064
"Case 1",500,"Gaussian Process",1.185,0.031
"Case 1",500,"Tensor Product Spline",1.304,0.039
"Case 1",500,"Thin Plate Spline",1.195,0.031
"Case 1",1000,"ABMRS (gamma=0.8)",0.691,0.053
"Case 1",1000,"ABMRS (gamma=1.2)",0.674,0.051
"Case 1",1000,"ABMRS (gamma=1)",0.677,0.053
"Case 1",1000,"BASS",0.623,0.041
"Case 1",1000,"Gaussian Process",0.881,0.019
"Case 1",1000,"Tensor Product Spline",0.949,0.023
"Case 1",1000,"Thin Plate Spline",0.904,0.022
"Case 2",500,"ABMRS (gamma=0.8)",2.715,0.267
"Case 2",500,"ABMRS (gamma=1.2)",2.669,0.259
"Case 2",500,"ABMRS (gamma=1)",2.688,0.254
"Case 2",500,"BASS",2.813,0.373
"Case 2",500,"Gaussian Process",5.587,0.612
"Case 2",500,"Tensor Product Spline",5.1,0.534
"Case 2",500,"Thin Plate Spline",5.164,0.412
"Case 2",1000,"ABMRS (gamma=0.8)",1.832,0.08
"Case 2",1000,"ABMRS (gamma=1.2)",1.845,0.093
"Case 2",1000,"ABMRS (gamma=1)",1.84,0.092
"Case 2",1000,"BASS",2.073,0.237
"Case 2",1000,"Gaussian Process",4.403,0.37
"Case 2",1000,"Tensor Product Spline",3.669,0.261
"Case 2",1000,"Thin Plate Spline",4.081,0.254
"Case 3",500,"ABMRS (gamma=0.8)",3.542,0.495
"Case 3",500,"ABMRS (gamma=1.2)",3.539,0.46
"Case 3",500,"ABMRS (gamma=1)",3.502,0.456
"Case 3",500,"BASS",3.079,0.408
"Case 3",500,"Gaussian Process",6.209,0.428
"Case 3",500,"Tensor Product Spline",6.001,0.363
"Case 3",500,"Thin Plate Spline",5.086,0.315
"Case 3",1000,"ABMRS (gamma=0.8)",2.228,0.108
"Case 3",1000,"ABMRS (gamma=1.2)",2.22,0.109
"Case 3",1000,"ABMRS (gamma=1)",2.215,0.117
"Case 3",1000,"BASS",2.337,0.249
"Case 3",1000,"Gaussian Process",4.865,0.206
"Case 3",1000,"Tensor Product Spline",4.319,0.145
"Case 3",1000,"Thin Plate Spline",3.93,0.124
