"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",0.086,0.014
"Case 1",500,"ABMRS (gamma=1.2)",0.087,0.014
"Case 1",500,"ABMRS (gamma=1)",0.087,0.014
"Case 1",500,"BASS",0.297,0.055
"Case 1",500,"Gaussian Process",0.062,0.014
"Case 1",500,"Tensor Product Spline",0.08,0.018
"Case 1",500,"Thin Plate Spline",0.075,0.016
"Case 1",1000,"ABMRS (gamma=0.8)",0.051,0.009
"Case 1",1000,"ABMRS (gamma=1.2)",0.054,0.008
"Case 1",1000,"ABMRS (gamma=1)",0.053,0.008
"Case 1",1000,"BASS",0.157,0.028
"Case 1",1000,"Gaussian Process",0.033,0.006
"Case 1",1000,"Tensor Product Spline",0.042,0.008
"Case 1",1000,"Thin Plate Spline",0.04,0.008
"Case 2",500,"ABMRS (gamma=0.8)",0.602,0.176
"Case 2",500,"ABMRS (gamma=1.2)",0.65,0.197
"Case 2",500,"ABMRS (gamma=1)",0.638,0.2
"Case 2",500,"BASS",5.085,1.683
"Case 2",500,"Gaussian Process",1.597,0.336
"Case 2",500,"Tensor Product Spline",1.956,0.46
"Case 2",500,"Thin Plate Spline",1.983,0.478
"Case 2",1000,"ABMRS (gamma=0.8)",0.224,0.07
"Case 2",1000,"ABMRS (gamma=1.2)",0.233,0.07
"Case 2",1000,"ABMRS (gamma=1)",0.23,0.071
"Case 2",1000,"BASS",2.825,0.567
"Case 2",1000,"Gaussian Process",0.935,0.18
"Case 2",1000,"Tensor Product Spline",1.205,0.246
"Case 2",1000,"Thin Plate Spline",1.298,0.238
"Case 3",500,"ABMRS (gamma=0.8)",1.036,0.262
"Case 3",500,"ABMRS (gamma=1.2)",1.157,0.51
"Case 3",500,"ABMRS (gamma=1)",1.135,0.356
"Case 3",500,"BASS",7.505,1.352
"Case 3",500,"Gaussian Process",2.46,0.409
"Case 3",500,"Tensor Product Spline",2.71,0.431
"Case 3",500,"Thin Plate Spline",2.469,0.466
"Case 3",1000,"ABMRS (gamma=0.8)",0.326,0.071
"Case 3",1000,"ABMRS (gamma=1.2)",0.335,0.078
"Case 3",1000,"ABMRS (gamma=1)",0.333,0.074
"Case 3",1000,"BASS",4.636,0.856
"Case 3",1000,"Gaussian Process",1.495,0.18
"Case 3",1000,"Tensor Product Spline",1.838,0.252
"Case 3",1000,"Thin Plate Spline",1.659,0.213
