"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",0.334,0.036
"Case 1",500,"ABMRS (gamma=1.2)",0.337,0.037
"Case 1",500,"ABMRS (gamma=1)",0.335,0.036
"Case 1",500,"BASS",0.601,0.065
"Case 1",500,"Gaussian Process",0.27,0.031
"Case 1",500,"Tensor Product Spline",0.306,0.034
"Case 1",500,"Thin Plate Spline",0.295,0.03
"Case 1",1000,"ABMRS (gamma=0.8)",0.253,0.028
"Case 1",1000,"ABMRS (gamma=1.2)",0.259,0.026
"Case 1",1000,"ABMRS (gamma=1)",0.257,0.027
"Case 1",1000,"BASS",0.432,0.037
"Case 1",1000,"Gaussian Process",0.198,0.019
"Case 1",1000,"Tensor Product Spline",0.221,0.019
"Case 1",1000,"Thin Plate Spline",0.213,0.021
"Case 2",500,"ABMRS (gamma=0.8)",1.343,0.809
"Case 2",500,"ABMRS (gamma=1.2)",1.36,0.827
"Case 2",500,"ABMRS (gamma=1)",1.288,0.543
"Case 2",500,"BASS",3.11,0.473
"Case 2",500,"Gaussian Process",2.117,0.281
"Case 2",500,"Tensor Product Spline",2.31,0.263
"Case 2",500,"Thin Plate Spline",2.414,0.333
"Case 2",1000,"ABMRS (gamma=0.8)",0.751,0.192
"Case 2",1000,"ABMRS (gamma=1.2)",0.752,0.175
"Case 2",1000,"ABMRS (gamma=1)",0.797,0.282
"Case 2",1000,"BASS",2.47,0.274
"Case 2",1000,"Gaussian Process",1.674,0.255
"Case 2",1000,"Tensor Product Spline",1.997,0.221
"Case 2",1000,"Thin Plate Spline",2.108,0.242
"Case 3",500,"ABMRS (gamma=0.8)",1.709,0.778
"Case 3",500,"ABMRS (gamma=1.2)",1.631,0.489
"Case 3",500,"ABMRS (gamma=1)",1.608,0.43
"Case 3",500,"BASS",3.479,0.315
"Case 3",500,"Gaussian Process",2.131,0.245
"Case 3",500,"Tensor Product Spline",2.248,0.264
"Case 3",500,"Thin Plate Spline",2.198,0.269
"Case 3",1000,"ABMRS (gamma=0.8)",0.885,0.223
"Case 3",1000,"ABMRS (gamma=1.2)",0.892,0.224
"Case 3",1000,"ABMRS (gamma=1)",0.865,0.134
"Case 3",1000,"BASS",2.822,0.259
"Case 3",1000,"Gaussian Process",1.782,0.142
"Case 3",1000,"Tensor Product Spline",1.976,0.163
"Case 3",1000,"Thin Plate Spline",1.911,0.163
