"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.936,0.069
"Case 1",250,"ABMRS (gamma=1.2)",0.936,0.068
"Case 1",250,"ABMRS (gamma=1)",0.936,0.068
"Case 1",250,"BASS",0.894,0.103
"Case 1",250,"Gaussian Process",0.958,0.046
"Case 1",250,"Tensor Product Spline",0.951,0.089
"Case 1",250,"Thin Plate Spline",0.966,0.022
"Case 1",1000,"ABMRS (gamma=0.8)",0.958,0.049
"Case 1",1000,"ABMRS (gamma=1.2)",0.959,0.05
"Case 1",1000,"ABMRS (gamma=1)",0.959,0.049
"Case 1",1000,"BASS",0.872,0.138
"Case 1",1000,"Gaussian Process",0.973,0.037
"Case 1",1000,"Tensor Product Spline",0.938,0.093
"Case 1",1000,"Thin Plate Spline",0.978,0.014
"Case 2",250,"ABMRS (gamma=0.8)",0.927,0.049
"Case 2",250,"ABMRS (gamma=1.2)",0.926,0.05
"Case 2",250,"ABMRS (gamma=1)",0.927,0.05
"Case 2",250,"BASS",0.594,0.086
"Case 2",250,"Gaussian Process",0.961,0.028
"Case 2",250,"Tensor Product Spline",0.96,0.032
"Case 2",250,"Thin Plate Spline",0.956,0.027
"Case 2",1000,"ABMRS (gamma=0.8)",0.906,0.043
"Case 2",1000,"ABMRS (gamma=1.2)",0.905,0.044
"Case 2",1000,"ABMRS (gamma=1)",0.906,0.044
"Case 2",1000,"BASS",0.567,0.069
"Case 2",1000,"Gaussian Process",0.965,0.021
"Case 2",1000,"Tensor Product Spline",0.963,0.023
"Case 2",1000,"Thin Plate Spline",0.967,0.018
"Case 3",250,"ABMRS (gamma=0.8)",0.846,0.051
"Case 3",250,"ABMRS (gamma=1.2)",0.838,0.047
"Case 3",250,"ABMRS (gamma=1)",0.843,0.05
"Case 3",250,"BASS",0.513,0.078
"Case 3",250,"Gaussian Process",0.957,0.023
"Case 3",250,"Tensor Product Spline",0.961,0.019
"Case 3",250,"Thin Plate Spline",0.902,0.029
"Case 3",1000,"ABMRS (gamma=0.8)",0.743,0.101
"Case 3",1000,"ABMRS (gamma=1.2)",0.663,0.074
"Case 3",1000,"ABMRS (gamma=1)",0.694,0.093
"Case 3",1000,"BASS",0.531,0.063
"Case 3",1000,"Gaussian Process",0.97,0.014
"Case 3",1000,"Tensor Product Spline",0.967,0.014
"Case 3",1000,"Thin Plate Spline",0.943,0.016
"Case 4",250,"ABMRS (gamma=0.8)",0.848,0.059
"Case 4",250,"ABMRS (gamma=1.2)",0.844,0.059
"Case 4",250,"ABMRS (gamma=1)",0.848,0.059
"Case 4",250,"BASS",0.652,0.082
"Case 4",250,"Gaussian Process",0.964,0.026
"Case 4",250,"Tensor Product Spline",0.966,0.019
"Case 4",250,"Thin Plate Spline",0.934,0.031
"Case 4",1000,"ABMRS (gamma=0.8)",0.845,0.061
"Case 4",1000,"ABMRS (gamma=1.2)",0.83,0.056
"Case 4",1000,"ABMRS (gamma=1)",0.829,0.059
"Case 4",1000,"BASS",0.6,0.06
"Case 4",1000,"Gaussian Process",0.966,0.017
"Case 4",1000,"Tensor Product Spline",0.968,0.014
"Case 4",1000,"Thin Plate Spline",0.957,0.017
"Case 5",250,"ABMRS (gamma=0.8)",0.85,0.065
"Case 5",250,"ABMRS (gamma=1.2)",0.841,0.065
"Case 5",250,"ABMRS (gamma=1)",0.845,0.063
"Case 5",250,"BASS",0.456,0.07
"Case 5",250,"Gaussian Process",0.962,0.023
"Case 5",250,"Tensor Product Spline",0.954,0.025
"Case 5",250,"Thin Plate Spline",0.934,0.029
"Case 5",1000,"ABMRS (gamma=0.8)",0.864,0.065
"Case 5",1000,"ABMRS (gamma=1.2)",0.839,0.077
"Case 5",1000,"ABMRS (gamma=1)",0.854,0.072
"Case 5",1000,"BASS",0.513,0.051
"Case 5",1000,"Gaussian Process",0.973,0.014
"Case 5",1000,"Tensor Product Spline",0.965,0.016
"Case 5",1000,"Thin Plate Spline",0.962,0.015
