"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.067,0.015
"Case 1",250,"ABMRS (gamma=1.2)",0.067,0.015
"Case 1",250,"ABMRS (gamma=1)",0.067,0.015
"Case 1",250,"BASS",0.051,0.016
"Case 1",250,"Gaussian Process",0.058,0.011
"Case 1",250,"Tensor Product Spline",0.043,0.017
"Case 1",250,"Thin Plate Spline",0.086,0.014
"Case 1",1000,"ABMRS (gamma=0.8)",0.03,0.005
"Case 1",1000,"ABMRS (gamma=1.2)",0.03,0.005
"Case 1",1000,"ABMRS (gamma=1)",0.03,0.005
"Case 1",1000,"BASS",0.027,0.01
"Case 1",1000,"Gaussian Process",0.027,0.005
"Case 1",1000,"Tensor Product Spline",0.018,0.007
"Case 1",1000,"Thin Plate Spline",0.047,0.005
"Case 2",250,"ABMRS (gamma=0.8)",0.086,0.016
"Case 2",250,"ABMRS (gamma=1.2)",0.086,0.016
"Case 2",250,"ABMRS (gamma=1)",0.086,0.016
"Case 2",250,"BASS",0.13,0.021
"Case 2",250,"Gaussian Process",0.081,0.012
"Case 2",250,"Tensor Product Spline",0.086,0.013
"Case 2",250,"Thin Plate Spline",0.091,0.013
"Case 2",1000,"ABMRS (gamma=0.8)",0.043,0.006
"Case 2",1000,"ABMRS (gamma=1.2)",0.043,0.006
"Case 2",1000,"ABMRS (gamma=1)",0.043,0.006
"Case 2",1000,"BASS",0.079,0.007
"Case 2",1000,"Gaussian Process",0.045,0.006
"Case 2",1000,"Tensor Product Spline",0.05,0.006
"Case 2",1000,"Thin Plate Spline",0.054,0.006
"Case 3",250,"ABMRS (gamma=0.8)",0.102,0.016
"Case 3",250,"ABMRS (gamma=1.2)",0.101,0.016
"Case 3",250,"ABMRS (gamma=1)",0.101,0.016
"Case 3",250,"BASS",0.254,0.042
"Case 3",250,"Gaussian Process",0.151,0.035
"Case 3",250,"Tensor Product Spline",0.145,0.026
"Case 3",250,"Thin Plate Spline",0.208,0.042
"Case 3",1000,"ABMRS (gamma=0.8)",0.063,0.008
"Case 3",1000,"ABMRS (gamma=1.2)",0.068,0.006
"Case 3",1000,"ABMRS (gamma=1)",0.066,0.006
"Case 3",1000,"BASS",0.112,0.009
"Case 3",1000,"Gaussian Process",0.064,0.007
"Case 3",1000,"Tensor Product Spline",0.071,0.008
"Case 3",1000,"Thin Plate Spline",0.097,0.011
"Case 4",250,"ABMRS (gamma=0.8)",0.134,0.021
"Case 4",250,"ABMRS (gamma=1.2)",0.134,0.021
"Case 4",250,"ABMRS (gamma=1)",0.134,0.021
"Case 4",250,"BASS",0.118,0.017
"Case 4",250,"Gaussian Process",0.114,0.016
"Case 4",250,"Tensor Product Spline",0.144,0.027
"Case 4",250,"Thin Plate Spline",0.142,0.015
"Case 4",1000,"ABMRS (gamma=0.8)",0.07,0.01
"Case 4",1000,"ABMRS (gamma=1.2)",0.071,0.01
"Case 4",1000,"ABMRS (gamma=1)",0.072,0.01
"Case 4",1000,"BASS",0.069,0.007
"Case 4",1000,"Gaussian Process",0.06,0.006
"Case 4",1000,"Tensor Product Spline",0.071,0.006
"Case 4",1000,"Thin Plate Spline",0.077,0.006
"Case 5",250,"ABMRS (gamma=0.8)",0.155,0.039
"Case 5",250,"ABMRS (gamma=1.2)",0.156,0.037
"Case 5",250,"ABMRS (gamma=1)",0.156,0.037
"Case 5",250,"BASS",0.357,0.078
"Case 5",250,"Gaussian Process",0.136,0.019
"Case 5",250,"Tensor Product Spline",0.144,0.028
"Case 5",250,"Thin Plate Spline",0.152,0.024
"Case 5",1000,"ABMRS (gamma=0.8)",0.068,0.008
"Case 5",1000,"ABMRS (gamma=1.2)",0.071,0.009
"Case 5",1000,"ABMRS (gamma=1)",0.069,0.009
"Case 5",1000,"BASS",0.134,0.012
"Case 5",1000,"Gaussian Process",0.069,0.006
"Case 5",1000,"Tensor Product Spline",0.076,0.007
"Case 5",1000,"Thin Plate Spline",0.079,0.007
