"case","n_train","method","mean","sd"
"Case 1",250,"BASS (degree=1)",0.134,0.023
"Case 1",250,"BASS (degree=2)",0.169,0.018
"Case 1",250,"BASS (degree=3)",0.199,0.02
"Case 1",1000,"BASS (degree=1)",0.069,0.011
"Case 1",1000,"BASS (degree=2)",0.084,0.009
"Case 1",1000,"BASS (degree=3)",0.103,0.01
"Case 2",250,"BASS (degree=1)",0.203,0.026
"Case 2",250,"BASS (degree=2)",0.202,0.024
"Case 2",250,"BASS (degree=3)",0.219,0.021
"Case 2",1000,"BASS (degree=1)",0.119,0.012
"Case 2",1000,"BASS (degree=2)",0.108,0.01
"Case 2",1000,"BASS (degree=3)",0.109,0.007
"Case 3",250,"BASS (degree=1)",0.264,0.032
"Case 3",250,"BASS (degree=2)",0.215,0.022
"Case 3",250,"BASS (degree=3)",0.208,0.026
"Case 3",1000,"BASS (degree=1)",0.141,0.012
"Case 3",1000,"BASS (degree=2)",0.124,0.011
"Case 3",1000,"BASS (degree=3)",0.112,0.011
"Case 4",250,"BASS (degree=1)",0.22,0.026
"Case 4",250,"BASS (degree=2)",0.215,0.023
"Case 4",250,"BASS (degree=3)",0.216,0.02
"Case 4",1000,"BASS (degree=1)",0.118,0.011
"Case 4",1000,"BASS (degree=2)",0.109,0.011
"Case 4",1000,"BASS (degree=3)",0.11,0.009
"Case 5",250,"BASS (degree=1)",0.345,0.051
"Case 5",250,"BASS (degree=2)",0.322,0.044
"Case 5",250,"BASS (degree=3)",0.354,0.048
"Case 5",1000,"BASS (degree=1)",0.166,0.015
"Case 5",1000,"BASS (degree=2)",0.166,0.012
"Case 5",1000,"BASS (degree=3)",0.164,0.012
