"case","n_train","method","mean","sd"
"Case 1",250,"BASS (degree=1)",0.041,0.014
"Case 1",250,"BASS (degree=2)",0.052,0.01
"Case 1",250,"BASS (degree=3)",0.076,0.015
"Case 1",1000,"BASS (degree=1)",0.02,0.007
"Case 1",1000,"BASS (degree=2)",0.031,0.006
"Case 1",1000,"BASS (degree=3)",0.041,0.008
"Case 2",250,"BASS (degree=1)",0.112,0.013
"Case 2",250,"BASS (degree=2)",0.081,0.011
"Case 2",250,"BASS (degree=3)",0.078,0.014
"Case 2",1000,"BASS (degree=1)",0.072,0.007
"Case 2",1000,"BASS (degree=2)",0.045,0.007
"Case 2",1000,"BASS (degree=3)",0.035,0.007
"Case 3",250,"BASS (degree=1)",0.198,0.025
"Case 3",250,"BASS (degree=2)",0.116,0.015
"Case 3",250,"BASS (degree=3)",0.101,0.017
"Case 3",1000,"BASS (degree=1)",0.097,0.009
"Case 3",1000,"BASS (degree=2)",0.065,0.006
"Case 3",1000,"BASS (degree=3)",0.053,0.008
"Case 4",250,"BASS (degree=1)",0.11,0.015
"Case 4",250,"BASS (degree=2)",0.085,0.013
"Case 4",250,"BASS (degree=3)",0.071,0.012
"Case 4",1000,"BASS (degree=1)",0.068,0.008
"Case 4",1000,"BASS (degree=2)",0.05,0.006
"Case 4",1000,"BASS (degree=3)",0.04,0.007
"Case 5",250,"BASS (degree=1)",0.281,0.058
"Case 5",250,"BASS (degree=2)",0.214,0.06
"Case 5",250,"BASS (degree=3)",0.251,0.051
"Case 5",1000,"BASS (degree=1)",0.117,0.009
"Case 5",1000,"BASS (degree=2)",0.098,0.01
"Case 5",1000,"BASS (degree=3)",0.093,0.012
