"case","n_train","method","mean","sd"
"Case 1",250,"BASS (degree=1)",0.892,0.109
"Case 1",250,"BASS (degree=2)",0.853,0.084
"Case 1",250,"BASS (degree=3)",0.754,0.109
"Case 1",1000,"BASS (degree=1)",0.893,0.109
"Case 1",1000,"BASS (degree=2)",0.788,0.093
"Case 1",1000,"BASS (degree=3)",0.753,0.109
"Case 2",250,"BASS (degree=1)",0.59,0.083
"Case 2",250,"BASS (degree=2)",0.746,0.089
"Case 2",250,"BASS (degree=3)",0.803,0.097
"Case 2",1000,"BASS (degree=1)",0.545,0.073
"Case 2",1000,"BASS (degree=2)",0.721,0.086
"Case 2",1000,"BASS (degree=3)",0.847,0.083
"Case 3",250,"BASS (degree=1)",0.525,0.088
"Case 3",250,"BASS (degree=2)",0.598,0.079
"Case 3",250,"BASS (degree=3)",0.653,0.102
"Case 3",1000,"BASS (degree=1)",0.532,0.064
"Case 3",1000,"BASS (degree=2)",0.604,0.07
"Case 3",1000,"BASS (degree=3)",0.652,0.094
"Case 4",250,"BASS (degree=1)",0.646,0.083
"Case 4",250,"BASS (degree=2)",0.75,0.09
"Case 4",250,"BASS (degree=3)",0.845,0.069
"Case 4",1000,"BASS (degree=1)",0.576,0.07
"Case 4",1000,"BASS (degree=2)",0.68,0.087
"Case 4",1000,"BASS (degree=3)",0.797,0.09
"Case 5",250,"BASS (degree=1)",0.475,0.079
"Case 5",250,"BASS (degree=2)",0.532,0.094
"Case 5",250,"BASS (degree=3)",0.483,0.082
"Case 5",1000,"BASS (degree=1)",0.511,0.062
"Case 5",1000,"BASS (degree=2)",0.563,0.052
"Case 5",1000,"BASS (degree=3)",0.578,0.069
