"case","n_train","method","mean","sd"
"Case 1",250,"BASS (degree=1)",0.05,0.017
"Case 1",250,"BASS (degree=2)",0.06,0.011
"Case 1",250,"BASS (degree=3)",0.088,0.018
"Case 1",1000,"BASS (degree=1)",0.026,0.008
"Case 1",1000,"BASS (degree=2)",0.037,0.007
"Case 1",1000,"BASS (degree=3)",0.047,0.008
"Case 2",250,"BASS (degree=1)",0.127,0.018
"Case 2",250,"BASS (degree=2)",0.092,0.014
"Case 2",250,"BASS (degree=3)",0.089,0.017
"Case 2",1000,"BASS (degree=1)",0.082,0.008
"Case 2",1000,"BASS (degree=2)",0.051,0.007
"Case 2",1000,"BASS (degree=3)",0.039,0.008
"Case 3",250,"BASS (degree=1)",0.242,0.035
"Case 3",250,"BASS (degree=2)",0.137,0.021
"Case 3",250,"BASS (degree=3)",0.124,0.029
"Case 3",1000,"BASS (degree=1)",0.112,0.01
"Case 3",1000,"BASS (degree=2)",0.075,0.007
"Case 3",1000,"BASS (degree=3)",0.062,0.009
"Case 4",250,"BASS (degree=1)",0.118,0.017
"Case 4",250,"BASS (degree=2)",0.092,0.014
"Case 4",250,"BASS (degree=3)",0.078,0.013
"Case 4",1000,"BASS (degree=1)",0.073,0.008
"Case 4",1000,"BASS (degree=2)",0.054,0.007
"Case 4",1000,"BASS (degree=3)",0.045,0.009
"Case 5",250,"BASS (degree=1)",0.332,0.06
"Case 5",250,"BASS (degree=2)",0.266,0.082
"Case 5",250,"BASS (degree=3)",0.332,0.082
"Case 5",1000,"BASS (degree=1)",0.136,0.011
"Case 5",1000,"BASS (degree=2)",0.117,0.015
"Case 5",1000,"BASS (degree=3)",0.113,0.018
