"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.969,0.042
"Case 1",250,"ABMRS (gamma=1.2)",0.969,0.042
"Case 1",250,"ABMRS (gamma=1)",0.969,0.042
"Case 1",250,"BASS",0.979,0.043
"Case 1",250,"Gaussian Process",0.988,0.042
"Case 1",250,"Tensor Product Spline",0.974,0.041
"Case 1",250,"Thin Plate Spline",1.003,0.046
"Case 1",1000,"ABMRS (gamma=0.8)",0.979,0.024
"Case 1",1000,"ABMRS (gamma=1.2)",0.979,0.024
"Case 1",1000,"ABMRS (gamma=1)",0.979,0.024
"Case 1",1000,"BASS",0.979,0.024
"Case 1",1000,"Gaussian Process",0.985,0.024
"Case 1",1000,"Tensor Product Spline",0.98,0.024
"Case 1",1000,"Thin Plate Spline",0.996,0.025
"Case 2",250,"ABMRS (gamma=0.8)",0.877,0.044
"Case 2",250,"ABMRS (gamma=1.2)",0.878,0.044
"Case 2",250,"ABMRS (gamma=1)",0.878,0.044
"Case 2",250,"BASS",0.94,0.05
"Case 2",250,"Gaussian Process",0.911,0.043
"Case 2",250,"Tensor Product Spline",0.919,0.043
"Case 2",250,"Thin Plate Spline",0.912,0.043
"Case 2",1000,"ABMRS (gamma=0.8)",0.869,0.021
"Case 2",1000,"ABMRS (gamma=1.2)",0.869,0.021
"Case 2",1000,"ABMRS (gamma=1)",0.869,0.021
"Case 2",1000,"BASS",0.889,0.024
"Case 2",1000,"Gaussian Process",0.881,0.021
"Case 2",1000,"Tensor Product Spline",0.883,0.021
"Case 2",1000,"Thin Plate Spline",0.885,0.021
"Case 3",250,"ABMRS (gamma=0.8)",0.896,0.038
"Case 3",250,"ABMRS (gamma=1.2)",0.897,0.039
"Case 3",250,"ABMRS (gamma=1)",0.896,0.038
"Case 3",250,"BASS",1.11,0.068
"Case 3",250,"Gaussian Process",1.03,0.362
"Case 3",250,"Tensor Product Spline",0.981,0.039
"Case 3",250,"Thin Plate Spline",0.947,0.051
"Case 3",1000,"ABMRS (gamma=0.8)",0.884,0.025
"Case 3",1000,"ABMRS (gamma=1.2)",0.89,0.022
"Case 3",1000,"ABMRS (gamma=1)",0.888,0.024
"Case 3",1000,"BASS",0.915,0.027
"Case 3",1000,"Gaussian Process",0.897,0.025
"Case 3",1000,"Tensor Product Spline",0.904,0.025
"Case 3",1000,"Thin Plate Spline",0.923,0.027
"Case 4",250,"ABMRS (gamma=0.8)",1.034,0.04
"Case 4",250,"ABMRS (gamma=1.2)",1.033,0.04
"Case 4",250,"ABMRS (gamma=1)",1.033,0.04
"Case 4",250,"BASS",1.039,0.05
"Case 4",250,"Gaussian Process",1.071,0.041
"Case 4",250,"Tensor Product Spline",1.11,0.043
"Case 4",250,"Thin Plate Spline",1.062,0.048
"Case 4",1000,"ABMRS (gamma=0.8)",0.997,0.025
"Case 4",1000,"ABMRS (gamma=1.2)",1.001,0.026
"Case 4",1000,"ABMRS (gamma=1)",1.001,0.025
"Case 4",1000,"BASS",0.998,0.025
"Case 4",1000,"Gaussian Process",1.007,0.025
"Case 4",1000,"Tensor Product Spline",1.017,0.025
"Case 4",1000,"Thin Plate Spline",1.018,0.025
"Case 5",250,"ABMRS (gamma=0.8)",1.036,0.053
"Case 5",250,"ABMRS (gamma=1.2)",1.043,0.057
"Case 5",250,"ABMRS (gamma=1)",1.04,0.056
"Case 5",250,"BASS",1.445,0.197
"Case 5",250,"Gaussian Process",1.086,0.049
"Case 5",250,"Tensor Product Spline",1.096,0.052
"Case 5",250,"Thin Plate Spline",1.047,0.054
"Case 5",1000,"ABMRS (gamma=0.8)",0.993,0.027
"Case 5",1000,"ABMRS (gamma=1.2)",0.997,0.026
"Case 5",1000,"ABMRS (gamma=1)",0.993,0.027
"Case 5",1000,"BASS",1.057,0.031
"Case 5",1000,"Gaussian Process",1.014,0.026
"Case 5",1000,"Tensor Product Spline",1.019,0.027
"Case 5",1000,"Thin Plate Spline",1.02,0.026
