"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.059,0.012
"Case 1",250,"ABMRS (gamma=1.2)",0.059,0.012
"Case 1",250,"ABMRS (gamma=1)",0.059,0.012
"Case 1",250,"BASS",0.047,0.017
"Case 1",250,"Gaussian Process",0.053,0.012
"Case 1",250,"Tensor Product Spline",0.043,0.016
"Case 1",250,"Thin Plate Spline",0.073,0.013
"Case 1",1000,"ABMRS (gamma=0.8)",0.027,0.004
"Case 1",1000,"ABMRS (gamma=1.2)",0.027,0.004
"Case 1",1000,"ABMRS (gamma=1)",0.027,0.004
"Case 1",1000,"BASS",0.022,0.01
"Case 1",1000,"Gaussian Process",0.024,0.005
"Case 1",1000,"Tensor Product Spline",0.017,0.007
"Case 1",1000,"Thin Plate Spline",0.039,0.005
"Case 2",250,"ABMRS (gamma=0.8)",0.071,0.012
"Case 2",250,"ABMRS (gamma=1.2)",0.071,0.012
"Case 2",250,"ABMRS (gamma=1)",0.071,0.012
"Case 2",250,"BASS",0.112,0.015
"Case 2",250,"Gaussian Process",0.066,0.011
"Case 2",250,"Tensor Product Spline",0.073,0.01
"Case 2",250,"Thin Plate Spline",0.072,0.01
"Case 2",1000,"ABMRS (gamma=0.8)",0.037,0.004
"Case 2",1000,"ABMRS (gamma=1.2)",0.037,0.004
"Case 2",1000,"ABMRS (gamma=1)",0.037,0.004
"Case 2",1000,"BASS",0.071,0.006
"Case 2",1000,"Gaussian Process",0.037,0.005
"Case 2",1000,"Tensor Product Spline",0.042,0.005
"Case 2",1000,"Thin Plate Spline",0.043,0.005
"Case 3",250,"ABMRS (gamma=0.8)",0.088,0.009
"Case 3",250,"ABMRS (gamma=1.2)",0.088,0.009
"Case 3",250,"ABMRS (gamma=1)",0.088,0.009
"Case 3",250,"BASS",0.212,0.026
"Case 3",250,"Gaussian Process",0.128,0.085
"Case 3",250,"Tensor Product Spline",0.117,0.018
"Case 3",250,"Thin Plate Spline",0.151,0.023
"Case 3",1000,"ABMRS (gamma=0.8)",0.056,0.008
"Case 3",1000,"ABMRS (gamma=1.2)",0.06,0.005
"Case 3",1000,"ABMRS (gamma=1)",0.058,0.006
"Case 3",1000,"BASS",0.097,0.009
"Case 3",1000,"Gaussian Process",0.057,0.006
"Case 3",1000,"Tensor Product Spline",0.061,0.006
"Case 3",1000,"Thin Plate Spline",0.077,0.007
"Case 4",250,"ABMRS (gamma=0.8)",0.108,0.011
"Case 4",250,"ABMRS (gamma=1.2)",0.109,0.01
"Case 4",250,"ABMRS (gamma=1)",0.109,0.01
"Case 4",250,"BASS",0.11,0.014
"Case 4",250,"Gaussian Process",0.097,0.011
"Case 4",250,"Tensor Product Spline",0.117,0.014
"Case 4",250,"Thin Plate Spline",0.125,0.011
"Case 4",1000,"ABMRS (gamma=0.8)",0.056,0.008
"Case 4",1000,"ABMRS (gamma=1.2)",0.059,0.008
"Case 4",1000,"ABMRS (gamma=1)",0.059,0.007
"Case 4",1000,"BASS",0.067,0.008
"Case 4",1000,"Gaussian Process",0.055,0.005
"Case 4",1000,"Tensor Product Spline",0.064,0.005
"Case 4",1000,"Thin Plate Spline",0.07,0.005
"Case 5",250,"ABMRS (gamma=0.8)",0.112,0.018
"Case 5",250,"ABMRS (gamma=1.2)",0.114,0.018
"Case 5",250,"ABMRS (gamma=1)",0.113,0.018
"Case 5",250,"BASS",0.286,0.06
"Case 5",250,"Gaussian Process",0.114,0.014
"Case 5",250,"Tensor Product Spline",0.117,0.015
"Case 5",250,"Thin Plate Spline",0.125,0.016
"Case 5",1000,"ABMRS (gamma=0.8)",0.057,0.007
"Case 5",1000,"ABMRS (gamma=1.2)",0.06,0.008
"Case 5",1000,"ABMRS (gamma=1)",0.057,0.008
"Case 5",1000,"BASS",0.113,0.008
"Case 5",1000,"Gaussian Process",0.061,0.005
"Case 5",1000,"Tensor Product Spline",0.065,0.005
"Case 5",1000,"Thin Plate Spline",0.068,0.005
