"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.938,0.015
"Case 1",250,"ABMRS (gamma=1.2)",0.938,0.016
"Case 1",250,"ABMRS (gamma=1)",0.938,0.015
"Case 1",250,"BASS",0.941,0.015
"Case 1",250,"Gaussian Process",0.945,0.014
"Case 1",250,"Tensor Product Spline",0.943,0.014
"Case 1",250,"Thin Plate Spline",0.939,0.014
"Case 1",1000,"ABMRS (gamma=0.8)",0.948,0.009
"Case 1",1000,"ABMRS (gamma=1.2)",0.948,0.01
"Case 1",1000,"ABMRS (gamma=1)",0.948,0.01
"Case 1",1000,"BASS",0.947,0.009
"Case 1",1000,"Gaussian Process",0.949,0.01
"Case 1",1000,"Tensor Product Spline",0.948,0.01
"Case 1",1000,"Thin Plate Spline",0.949,0.009
"Case 2",250,"ABMRS (gamma=0.8)",0.934,0.017
"Case 2",250,"ABMRS (gamma=1.2)",0.934,0.017
"Case 2",250,"ABMRS (gamma=1)",0.933,0.018
"Case 2",250,"BASS",0.936,0.021
"Case 2",250,"Gaussian Process",0.946,0.018
"Case 2",250,"Tensor Product Spline",0.947,0.016
"Case 2",250,"Thin Plate Spline",0.943,0.019
"Case 2",1000,"ABMRS (gamma=0.8)",0.945,0.01
"Case 2",1000,"ABMRS (gamma=1.2)",0.945,0.01
"Case 2",1000,"ABMRS (gamma=1)",0.945,0.01
"Case 2",1000,"BASS",0.94,0.01
"Case 2",1000,"Gaussian Process",0.948,0.01
"Case 2",1000,"Tensor Product Spline",0.948,0.01
"Case 2",1000,"Thin Plate Spline",0.949,0.01
"Case 3",250,"ABMRS (gamma=0.8)",0.939,0.017
"Case 3",250,"ABMRS (gamma=1.2)",0.939,0.018
"Case 3",250,"ABMRS (gamma=1)",0.939,0.017
"Case 3",250,"BASS",0.911,0.024
"Case 3",250,"Gaussian Process",0.942,0.022
"Case 3",250,"Tensor Product Spline",0.941,0.021
"Case 3",250,"Thin Plate Spline",0.909,0.027
"Case 3",1000,"ABMRS (gamma=0.8)",0.946,0.01
"Case 3",1000,"ABMRS (gamma=1.2)",0.947,0.01
"Case 3",1000,"ABMRS (gamma=1)",0.946,0.01
"Case 3",1000,"BASS",0.936,0.011
"Case 3",1000,"Gaussian Process",0.949,0.011
"Case 3",1000,"Tensor Product Spline",0.949,0.01
"Case 3",1000,"Thin Plate Spline",0.947,0.011
"Case 4",250,"ABMRS (gamma=0.8)",0.935,0.02
"Case 4",250,"ABMRS (gamma=1.2)",0.935,0.02
"Case 4",250,"ABMRS (gamma=1)",0.935,0.02
"Case 4",250,"BASS",0.938,0.023
"Case 4",250,"Gaussian Process",0.946,0.019
"Case 4",250,"Tensor Product Spline",0.945,0.018
"Case 4",250,"Thin Plate Spline",0.931,0.022
"Case 4",1000,"ABMRS (gamma=0.8)",0.946,0.01
"Case 4",1000,"ABMRS (gamma=1.2)",0.946,0.01
"Case 4",1000,"ABMRS (gamma=1)",0.946,0.01
"Case 4",1000,"BASS",0.943,0.011
"Case 4",1000,"Gaussian Process",0.95,0.009
"Case 4",1000,"Tensor Product Spline",0.949,0.008
"Case 4",1000,"Thin Plate Spline",0.948,0.01
"Case 5",250,"ABMRS (gamma=0.8)",0.93,0.025
"Case 5",250,"ABMRS (gamma=1.2)",0.93,0.025
"Case 5",250,"ABMRS (gamma=1)",0.931,0.027
"Case 5",250,"BASS",0.923,0.025
"Case 5",250,"Gaussian Process",0.945,0.021
"Case 5",250,"Tensor Product Spline",0.944,0.022
"Case 5",250,"Thin Plate Spline",0.931,0.025
"Case 5",1000,"ABMRS (gamma=0.8)",0.945,0.009
"Case 5",1000,"ABMRS (gamma=1.2)",0.946,0.009
"Case 5",1000,"ABMRS (gamma=1)",0.945,0.009
"Case 5",1000,"BASS",0.94,0.01
"Case 5",1000,"Gaussian Process",0.949,0.009
"Case 5",1000,"Tensor Product Spline",0.949,0.009
"Case 5",1000,"Thin Plate Spline",0.947,0.009
