"case","n_train","method","mean","sd"
"Case 1",250,"ABMRS (gamma=0.8)",0.067,0.013
"Case 1",250,"ABMRS (gamma=1.2)",0.067,0.013
"Case 1",250,"ABMRS (gamma=1)",0.067,0.013
"Case 1",250,"BASS",0.055,0.019
"Case 1",250,"Gaussian Process",0.058,0.013
"Case 1",250,"Tensor Product Spline",0.047,0.018
"Case 1",250,"Thin Plate Spline",0.086,0.015
"Case 1",1000,"ABMRS (gamma=0.8)",0.031,0.005
"Case 1",1000,"ABMRS (gamma=1.2)",0.031,0.005
"Case 1",1000,"ABMRS (gamma=1)",0.031,0.005
"Case 1",1000,"BASS",0.027,0.011
"Case 1",1000,"Gaussian Process",0.027,0.005
"Case 1",1000,"Tensor Product Spline",0.019,0.008
"Case 1",1000,"Thin Plate Spline",0.047,0.005
"Case 2",250,"ABMRS (gamma=0.8)",0.085,0.017
"Case 2",250,"ABMRS (gamma=1.2)",0.084,0.017
"Case 2",250,"ABMRS (gamma=1)",0.084,0.017
"Case 2",250,"BASS",0.128,0.018
"Case 2",250,"Gaussian Process",0.078,0.012
"Case 2",250,"Tensor Product Spline",0.083,0.012
"Case 2",250,"Thin Plate Spline",0.087,0.012
"Case 2",1000,"ABMRS (gamma=0.8)",0.041,0.004
"Case 2",1000,"ABMRS (gamma=1.2)",0.041,0.004
"Case 2",1000,"ABMRS (gamma=1)",0.041,0.004
"Case 2",1000,"BASS",0.08,0.007
"Case 2",1000,"Gaussian Process",0.043,0.005
"Case 2",1000,"Tensor Product Spline",0.048,0.005
"Case 2",1000,"Thin Plate Spline",0.051,0.005
"Case 3",250,"ABMRS (gamma=0.8)",0.103,0.017
"Case 3",250,"ABMRS (gamma=1.2)",0.103,0.017
"Case 3",250,"ABMRS (gamma=1)",0.103,0.017
"Case 3",250,"BASS",0.26,0.043
"Case 3",250,"Gaussian Process",0.162,0.097
"Case 3",250,"Tensor Product Spline",0.151,0.037
"Case 3",250,"Thin Plate Spline",0.205,0.044
"Case 3",1000,"ABMRS (gamma=0.8)",0.063,0.008
"Case 3",1000,"ABMRS (gamma=1.2)",0.067,0.006
"Case 3",1000,"ABMRS (gamma=1)",0.065,0.007
"Case 3",1000,"BASS",0.113,0.011
"Case 3",1000,"Gaussian Process",0.065,0.008
"Case 3",1000,"Tensor Product Spline",0.072,0.008
"Case 3",1000,"Thin Plate Spline",0.097,0.011
"Case 4",250,"ABMRS (gamma=0.8)",0.13,0.022
"Case 4",250,"ABMRS (gamma=1.2)",0.13,0.018
"Case 4",250,"ABMRS (gamma=1)",0.13,0.018
"Case 4",250,"BASS",0.118,0.016
"Case 4",250,"Gaussian Process",0.108,0.013
"Case 4",250,"Tensor Product Spline",0.136,0.02
"Case 4",250,"Thin Plate Spline",0.141,0.013
"Case 4",1000,"ABMRS (gamma=0.8)",0.068,0.015
"Case 4",1000,"ABMRS (gamma=1.2)",0.072,0.016
"Case 4",1000,"ABMRS (gamma=1)",0.071,0.011
"Case 4",1000,"BASS",0.072,0.009
"Case 4",1000,"Gaussian Process",0.061,0.006
"Case 4",1000,"Tensor Product Spline",0.072,0.006
"Case 4",1000,"Thin Plate Spline",0.077,0.006
"Case 5",250,"ABMRS (gamma=0.8)",0.145,0.031
"Case 5",250,"ABMRS (gamma=1.2)",0.146,0.028
"Case 5",250,"ABMRS (gamma=1)",0.144,0.03
"Case 5",250,"BASS",0.342,0.07
"Case 5",250,"Gaussian Process",0.135,0.025
"Case 5",250,"Tensor Product Spline",0.146,0.041
"Case 5",250,"Thin Plate Spline",0.153,0.03
"Case 5",1000,"ABMRS (gamma=0.8)",0.069,0.008
"Case 5",1000,"ABMRS (gamma=1.2)",0.071,0.009
"Case 5",1000,"ABMRS (gamma=1)",0.069,0.009
"Case 5",1000,"BASS",0.132,0.01
"Case 5",1000,"Gaussian Process",0.068,0.006
"Case 5",1000,"Tensor Product Spline",0.074,0.007
"Case 5",1000,"Thin Plate Spline",0.077,0.007
