"case","n_train","method","mean","sd"
"Case 1",500,"BASS (degree=1)",0.537,0.05
"Case 1",500,"BASS (degree=2)",0.375,0.048
"Case 1",500,"BASS (degree=3)",0.361,0.039
"Case 1",1000,"BASS (degree=1)",0.395,0.038
"Case 1",1000,"BASS (degree=2)",0.287,0.025
"Case 1",1000,"BASS (degree=3)",0.265,0.026
"Case 2",500,"BASS (degree=1)",2.117,0.274
"Case 2",500,"BASS (degree=2)",2.267,0.434
"Case 2",500,"BASS (degree=3)",2.485,0.443
"Case 2",1000,"BASS (degree=1)",1.662,0.143
"Case 2",1000,"BASS (degree=2)",1.634,0.199
"Case 2",1000,"BASS (degree=3)",1.841,0.223
"Case 3",500,"BASS (degree=1)",2.672,0.225
"Case 3",500,"BASS (degree=2)",2.678,0.321
"Case 3",500,"BASS (degree=3)",2.884,0.366
"Case 3",1000,"BASS (degree=1)",2.052,0.157
"Case 3",1000,"BASS (degree=2)",2.041,0.203
"Case 3",1000,"BASS (degree=3)",2.091,0.181
