"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",3.233,0.102
"Case 1",500,"ABMRS (gamma=1.2)",3.234,0.102
"Case 1",500,"ABMRS (gamma=1)",3.233,0.102
"Case 1",500,"BASS",3.573,0.149
"Case 1",500,"Gaussian Process",3.291,0.1
"Case 1",500,"Tensor Product Spline",3.334,0.104
"Case 1",500,"Thin Plate Spline",3.28,0.101
"Case 1",1000,"ABMRS (gamma=0.8)",3.197,0.072
"Case 1",1000,"ABMRS (gamma=1.2)",3.207,0.074
"Case 1",1000,"ABMRS (gamma=1)",3.201,0.072
"Case 1",1000,"BASS",3.36,0.094
"Case 1",1000,"Gaussian Process",3.226,0.075
"Case 1",1000,"Tensor Product Spline",3.247,0.076
"Case 1",1000,"Thin Plate Spline",3.232,0.077
"Case 2",500,"ABMRS (gamma=0.8)",8.251,0.312
"Case 2",500,"ABMRS (gamma=1.2)",8.298,0.324
"Case 2",500,"ABMRS (gamma=1)",8.279,0.319
"Case 2",500,"BASS",12.593,1.527
"Case 2",500,"Gaussian Process",10.834,0.928
"Case 2",500,"Tensor Product Spline",11.535,0.936
"Case 2",500,"Thin Plate Spline",11.366,1.124
"Case 2",1000,"ABMRS (gamma=0.8)",7.987,0.208
"Case 2",1000,"ABMRS (gamma=1.2)",8.012,0.224
"Case 2",1000,"ABMRS (gamma=1)",8.018,0.241
"Case 2",1000,"BASS",11.311,0.717
"Case 2",1000,"Gaussian Process",10.141,0.5
"Case 2",1000,"Tensor Product Spline",11.228,0.694
"Case 2",1000,"Thin Plate Spline",11.23,0.621
"Case 3",500,"ABMRS (gamma=0.8)",8.523,0.328
"Case 3",500,"ABMRS (gamma=1.2)",8.546,0.287
"Case 3",500,"ABMRS (gamma=1)",8.533,0.297
"Case 3",500,"BASS",13.834,1.053
"Case 3",500,"Gaussian Process",11.271,0.606
"Case 3",500,"Tensor Product Spline",11.739,0.672
"Case 3",500,"Thin Plate Spline",10.844,0.634
"Case 3",1000,"ABMRS (gamma=0.8)",7.981,0.223
"Case 3",1000,"ABMRS (gamma=1.2)",7.977,0.232
"Case 3",1000,"ABMRS (gamma=1)",8.012,0.228
"Case 3",1000,"BASS",12.351,0.655
"Case 3",1000,"Gaussian Process",10.366,0.469
"Case 3",1000,"Tensor Product Spline",10.906,0.484
"Case 3",1000,"Thin Plate Spline",10.518,0.513
