"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",0.288,0.023
"Case 1",500,"ABMRS (gamma=1.2)",0.293,0.021
"Case 1",500,"ABMRS (gamma=1)",0.292,0.021
"Case 1",500,"BASS",0.545,0.055
"Case 1",500,"Gaussian Process",0.243,0.026
"Case 1",500,"Tensor Product Spline",0.274,0.03
"Case 1",500,"Thin Plate Spline",0.263,0.028
"Case 1",1000,"ABMRS (gamma=0.8)",0.226,0.017
"Case 1",1000,"ABMRS (gamma=1.2)",0.231,0.017
"Case 1",1000,"ABMRS (gamma=1)",0.228,0.016
"Case 1",1000,"BASS",0.395,0.029
"Case 1",1000,"Gaussian Process",0.179,0.018
"Case 1",1000,"Tensor Product Spline",0.2,0.018
"Case 1",1000,"Thin Plate Spline",0.195,0.019
"Case 2",500,"ABMRS (gamma=0.8)",0.751,0.111
"Case 2",500,"ABMRS (gamma=1.2)",0.798,0.118
"Case 2",500,"ABMRS (gamma=1)",0.792,0.117
"Case 2",500,"BASS",2.173,0.3
"Case 2",500,"Gaussian Process",1.24,0.141
"Case 2",500,"Tensor Product Spline",1.381,0.2
"Case 2",500,"Thin Plate Spline",1.378,0.203
"Case 2",1000,"ABMRS (gamma=0.8)",0.455,0.059
"Case 2",1000,"ABMRS (gamma=1.2)",0.467,0.067
"Case 2",1000,"ABMRS (gamma=1)",0.464,0.063
"Case 2",1000,"BASS",1.605,0.15
"Case 2",1000,"Gaussian Process",0.931,0.068
"Case 2",1000,"Tensor Product Spline",1.085,0.103
"Case 2",1000,"Thin Plate Spline",1.103,0.112
"Case 3",500,"ABMRS (gamma=0.8)",1.042,0.159
"Case 3",500,"ABMRS (gamma=1.2)",1.059,0.158
"Case 3",500,"ABMRS (gamma=1)",1.038,0.151
"Case 3",500,"BASS",2.669,0.268
"Case 3",500,"Gaussian Process",1.558,0.124
"Case 3",500,"Tensor Product Spline",1.656,0.143
"Case 3",500,"Thin Plate Spline",1.547,0.128
"Case 3",1000,"ABMRS (gamma=0.8)",0.574,0.082
"Case 3",1000,"ABMRS (gamma=1.2)",0.576,0.09
"Case 3",1000,"ABMRS (gamma=1)",0.58,0.088
"Case 3",1000,"BASS",2.111,0.165
"Case 3",1000,"Gaussian Process",1.189,0.076
"Case 3",1000,"Tensor Product Spline",1.322,0.096
"Case 3",1000,"Thin Plate Spline",1.255,0.093
