"case","n_train","method","mean","sd"
"Case 1",500,"ABMRS (gamma=0.8)",0.326,0.029
"Case 1",500,"ABMRS (gamma=1.2)",0.331,0.029
"Case 1",500,"ABMRS (gamma=1)",0.331,0.03
"Case 1",500,"BASS",0.603,0.066
"Case 1",500,"Gaussian Process",0.266,0.028
"Case 1",500,"Tensor Product Spline",0.299,0.032
"Case 1",500,"Thin Plate Spline",0.283,0.03
"Case 1",1000,"ABMRS (gamma=0.8)",0.251,0.02
"Case 1",1000,"ABMRS (gamma=1.2)",0.256,0.02
"Case 1",1000,"ABMRS (gamma=1)",0.253,0.02
"Case 1",1000,"BASS",0.432,0.033
"Case 1",1000,"Gaussian Process",0.197,0.019
"Case 1",1000,"Tensor Product Spline",0.218,0.019
"Case 1",1000,"Thin Plate Spline",0.211,0.02
"Case 2",500,"ABMRS (gamma=0.8)",1.169,0.375
"Case 2",500,"ABMRS (gamma=1.2)",1.235,0.388
"Case 2",500,"ABMRS (gamma=1)",1.245,0.396
"Case 2",500,"BASS",2.98,0.448
"Case 2",500,"Gaussian Process",2.088,0.379
"Case 2",500,"Tensor Product Spline",2.3,0.386
"Case 2",500,"Thin Plate Spline",2.412,0.39
"Case 2",1000,"ABMRS (gamma=0.8)",0.737,0.264
"Case 2",1000,"ABMRS (gamma=1.2)",0.744,0.254
"Case 2",1000,"ABMRS (gamma=1)",0.783,0.293
"Case 2",1000,"BASS",2.436,0.255
"Case 2",1000,"Gaussian Process",1.718,0.162
"Case 2",1000,"Tensor Product Spline",2.071,0.205
"Case 2",1000,"Thin Plate Spline",2.156,0.207
"Case 3",500,"ABMRS (gamma=0.8)",1.599,0.435
"Case 3",500,"ABMRS (gamma=1.2)",1.661,0.457
"Case 3",500,"ABMRS (gamma=1)",1.6,0.387
"Case 3",500,"BASS",3.426,0.396
"Case 3",500,"Gaussian Process",2.14,0.324
"Case 3",500,"Tensor Product Spline",2.288,0.344
"Case 3",500,"Thin Plate Spline",2.191,0.337
"Case 3",1000,"ABMRS (gamma=0.8)",0.869,0.196
"Case 3",1000,"ABMRS (gamma=1.2)",0.868,0.206
"Case 3",1000,"ABMRS (gamma=1)",0.891,0.214
"Case 3",1000,"BASS",2.771,0.225
"Case 3",1000,"Gaussian Process",1.714,0.154
"Case 3",1000,"Tensor Product Spline",1.905,0.153
"Case 3",1000,"Thin Plate Spline",1.843,0.161
